Recipe_ID,calories,TotalFat,SaturatedFat,Cholesterol,Sodium,Potassium,TotalCarbohydrates,DietaryFiber,Protein,Sugars,VitaminA,VitaminC,Calcium,Iron,Thiamin,Niacin,VitaminB6,Magnesium,Folate
18308,683.0,57.8,9.0,38,805,95,34.7,1.3,7.3,2,98,0,97,2,0,4,0,22,66
206583,205.0,18.3,5.0,17,216,326,7.1,1.6,4,4,1157,18,115,1,0,2,0,19,25
265519,268.0,27.3,4.0,0,93,342,5.2,1.5,1.8,2,552,26,29,1,0,1,0,23,40
57844,252.0,16.4,3.0,29,274,62,18.8,0.8,6.3,1,158,2,99,1,0,2,0,9,19
233998,599.0,25.3,10.0,38,1053,816,76.5,8.8,21.6,5,1896,154,223,4,0,9,0,44,190
143652,428.0,21.1,12.0,56,1013,289,37.5,3.4,22.4,7,1664,20,567,4,0,4,0,30,17
24775,172.0,7.9,4.0,16,294,388,23.5,2.2,2.8,2,210,10,40,0,0,2,0,24,10
13829,251.0,10.8,3.0,11,222,821,34.2,4.2,5.4,2,133,37,73,2,0,3,1,46,31
38624,276.0,8.9,2.0,2,53,145,41.9,2.2,8.6,2,189,1,46,2,0,4,0,30,2
59280,259.0,15.6,10.0,41,113,52,26.8,0.5,2.8,0,478,1,19,1,0,2,0,14,56
53943,180.0,13.3,2.0,63,109,47,11.1,0.4,4.2,0,180,1,65,1,0,2,0,7,36
230645,514.0,26.2,15.0,73,322,353,56.6,3.9,10.3,7,803,10,89,2,1,7,0,48,158
109810,75.0,6.9,1.0,0,1866,229,3.2,1,1.2,1,3510,18,36,1,0,0,0,47,8
233413,189.0,9.1,2.0,5,232,222,17,5,7.7,7,2380,22,32,2,0,3,0,34,62
71881,121.0,7.2,1.0,0,197,491,11.4,3.8,4.1,4,1546,109,90,3,0,1,0,24,72
25243,110.0,5.4,1.0,4,103,596,14.2,3.2,3.9,7,2483,60,81,2,0,2,0,35,51
88901,288.0,27.3,4.0,0,1915,418,9.7,2.5,2.3,6,1074,26,63,3,0,1,0,20,33
163623,90.0,2.7,0.0,0,52,599,14.7,5,3.7,8,1592,124,52,1,0,2,0,31,112
215783,408.0,8.2,1.0,0.5,14,441,72.4,5.3,13.3,6,399,20,59,4,0,5,0,70,226
88071,156.0,13.8,2.0,0,8,338,7.9,1.7,1.7,3,1172,19,33,1,0,1,0,18,21
259466,289.0,20.9,3.0,0,424,853,25.2,7.1,4.4,14,1857,71,56,3,0,3,0,55,72
140831,105.0,6.5,2.0,10,124,294,9.6,3.9,3.9,2,887,19,46,1,0,2,0,32,45
222764,114.0,10.5,2.0,0,614,121,5.2,0.4,0.6,4,92,7,8,0,0,0,0,8,11
11733,524.0,23.3,5.0,29,604,317,57.4,2.5,19.8,2,17,0,40,3,1,12,0,49,180
83149,354.0,13.2,4.0,24,387,290,45.4,2.4,12.7,3,534,5,53,2,1,8,0,41,146
268668,497.0,16.4,4.0,221,1000,435,52.5,3.1,31.7,2,539,10,98,6,1,10,0,83,147
11717,415.0,12.2,4.0,19,1428,741,61.1,4.1,14,14,955,23,59,4,1,10,0,64,163
277016,415.0,13.5,5.0,93,653,722,49.9,4.5,23.8,7,613,9,90,5,1,12,0,62,142
278041,422.0,8.2,1.0,3,1775,305,65.4,3.2,12.3,3,670,15,56,5,1,9,0,60,212
87469,384.0,18,8.0,27,463,181,42.9,1.9,12,2,600,1,152,2,1,7,0,44,140
106018,588.0,29,4.0,0,465,866,72.9,6.4,14,12,1512,96,309,8,1,9,0,66,305
268210,671.0,44.3,6.0,3,121,714,55.2,6.6,16.7,3,2055,33,158,4,1,9,0,136,178
220320,496.0,26,7,34,1220,714,45.3,4.1,22.3,6,1554,19,94,4,1,6,0,482,60
26289,303.0,1.1,0.0,0,7,510,59.2,6.1,13.7,2,0,1,35,4,1,8,0,69,245
213185,570.0,27.4,9.0,82,821,595,56.3,4.1,21.3,8,1129,62,54,4,1,13,0,65,161
219681,413.0,11.7,3.0,13,1095,941,60.7,7.8,16.1,10,8784,38,267,10,0,8,0,93,257
