Recipe_ID,calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
256081,683.0,25.7,14.0,56,1481,1204,89.7,15,24.9,8,21430,13,433,7,1,8,1,106,167
231863,804.0,55,25.0,96,2333,1136,48.2,5.7,34,7,13346,41,702,7,1,11,0,146,355
273649,501.0,33.8,20.0,87,688,617,32.4,5.1,20.6,3,3282,11,491,2,0,7,0,87,76
181149,286.0,13.4,6.0,57,593,138,21.5,1.2,18.2,2,59,1,52,2,0,7,0,17,36
21023,358.0,11.9,4.0,15,728,644,53,4.9,10.8,3,341,24,149,3,0,6,0,51,92
244589,439.0,23,10.0,54,755,471,42.1,6.3,18.2,10,1398,11,326,4,0,5,0,74,22
8946,975.0,63.6,31.0,206,1624,898,46.8,5.6,55.9,5,2747,78,756,5,0,21,1,116,84
258250,626.0,31.2,15.0,59,1138,818,67.2,9.6,20.6,5,2569,49,376,6,1,8,0,77,193
270863,476.0,32,12.0,100,454,306,21.5,3,26.6,1,466,21,295,2,0,11,0,50,25
33622,587.0,30.8,15.0,329,1330,635,46,4.3,33.3,3,1294,19,582,9,0,12,0,54,140
58246,557.0,16,7.0,30,1312,659,80.8,13.6,22.9,2,486,5,315,6,1,8,0,99,182
85937,475.0,35.7,16.0,104,532,469,4.6,1,32.8,2,764,17,280,3,0,11,0,37,23
8824,560.0,26.5,13.0,88,1545,265,54.8,5.7,28.6,2,1114,7,459,2,0,6,0,32,24
237008,724.0,37.5,7.0,217,2163,149,36.3,2.5,38.6,1,342,16,28,1,0,5,0,15,6
258444,840.0,48.1,23.0,174,1968,223,51.7,3.2,48.9,4,927,2,608,2,0,1,0,98,29
263093,355.0,28.2,5.0,19,289,257,18.3,2.5,8.7,1,839,15,64,1,0,2,0,34,13
202383,662.0,23.2,8.0,99,1199,719,71.8,7.5,38.4,8,720,9,115,7,1,18,1,81,178
246846,876.0,46.4,11.0,94,274,1728,85.2,20.1,38.4,21,1990,139,240,3,1,21,2,178,215
231122,588.0,32.1,11.0,71,614,382,46.2,3.3,27.9,4,410,21,340,4,0,9,0,45,96
222074,259.0,6.9,3.0,12,957,512,48.6,6.6,13.1,2,769,16,154,2,0,4,0,76,42
242345,311.0,13.3,5.0,47,365,210,30.3,1.9,16.7,0,266,4,58,2,0,8,0,26,68
265086,418.0,33.6,6.0,189,259,430,21.1,4.5,10.4,3,1030,15,71,2,0,3,0,46,43
192599,455.0,21.1,3.0,0,604,1105,70.1,19.1,13.8,5,1670,31,98,4,0,6,1,107,168
222784,503.0,24.6,7.0,71,593,833,42.3,8.1,28,8,1391,25,108,4,0,12,1,48,112
36823,651.0,50.4,20.0,236,524,423,28.5,4.4,23.2,1,1476,5,259,3,0,8,0,65,38
143310,475.0,24.4,8.0,80,1375,736,38.5,5.3,24.5,8,1052,49,61,3,0,11,1,72,72
258285,401.0,8.3,1.0,0,1229,962,72.8,14.6,12,8,20230,10,146,4,0,5,1,103,136
79485,1020.0,104,39.0,303,688,271,1.4,0.5,23.3,0,2920,22,180,4,0,4,0,43,29
240129,475.0,26.4,12.0,79,1106,738,34.3,6.9,27,6,1073,22,421,4,0,9,0,78,58
245895,618.0,36.8,12.0,222,1272,1127,52.4,15.6,24.6,6,2144,63,338,5,1,8,1,130,170
234180,277.0,14.3,8.0,96,862,245,8.7,0,26,0,352,3,33,1,0,16,0,26,6
20677,428.0,21.2,8.0,208,995,366,41.1,3.1,18.4,4,619,1,287,4,0,6,0,36,104
244589,439.0,23,10.0,54,755,471,42.1,6.3,18.2,10,1398,11,326,4,0,5,0,74,22
262593,194.0,10.4,2.0,0,100,480,24.9,8.9,3,4,537,36,49,1,0,1,0,44,50
263141,278.0,13.7,4.0,107,93,466,0,0,36.4,0,9,0,26,1,1,14,1,32,1
